"Date","Price","Open","High","Low","Vol.","Change %"
"12/15/2025","86,428.6","88,154.4","89,974.1","85,228.8","61.65K","-1.96%"
"12/14/2025","88,155.3","90,248.3","90,472.3","87,657.9","32.26K","-2.32%"
"12/13/2025","90,249.3","90,272.0","90,638.1","89,781.3","23.47K","-0.03%"
"12/12/2025","90,272.0","92,510.4","92,744.6","89,498.1","49.84K","-2.42%"
"12/11/2025","92,507.4","92,005.0","93,539.4","89,324.1","65.64K","0.56%"
"12/10/2025","91,996.1","92,685.7","94,458.1","91,608.0","61.84K","-0.75%"
"12/09/2025","92,693.0","90,636.1","94,591.4","89,592.2","68.38K","2.27%"
"12/08/2025","90,636.2","90,413.6","92,269.1","89,640.7","51.82K","0.25%"
"12/07/2025","90,413.6","89,209.8","91,736.8","87,747.6","38.67K","1.35%"
"12/06/2025","89,209.8","89,333.6","90,176.5","88,929.5","30.14K","-0.14%"
"12/05/2025","89,333.6","92,082.8","92,676.4","88,218.4","61.14K","-2.99%"
"12/04/2025","92,082.8","93,437.2","94,043.9","90,933.2","60.28K","-1.45%"
"12/03/2025","93,437.2","91,286.8","94,077.0","91,020.8","79.02K","2.35%"
"12/02/2025","91,287.6","86,315.2","92,285.4","86,189.8","87.36K","5.77%"
"12/01/2025","86,309.1","90,372.2","90,372.2","83,858.1","105.96K","-4.50%"
"11/30/2025","90,374.2","90,804.1","91,957.0","90,351.7","31.09K","-0.47%"
"11/29/2025","90,800.5","90,894.7","91,160.2","90,225.3","28.05K","-0.10%"
"11/28/2025","90,894.7","91,324.7","92,942.6","90,221.5","60.08K","-0.47%"
"11/27/2025","91,324.6","90,497.8","91,888.0","90,099.9","58.08K","0.92%"
"11/26/2025","90,496.5","87,363.1","90,582.8","86,334.8","70.68K","3.58%"
"11/25/2025","87,366.8","88,296.1","88,502.6","86,162.0","70.67K","-1.05%"
"11/24/2025","88,296.5","86,828.4","89,210.6","85,307.2","81.64K","1.69%"
"11/23/2025","86,826.6","84,729.0","87,995.8","84,729.0","67.53K","2.48%"
"11/22/2025","84,721.6","85,117.2","85,557.3","83,518.8","49.35K","-0.48%"
"11/21/2025","85,131.0","86,610.6","87,460.0","80,697.7","177.95K","-1.71%"
"11/20/2025","86,613.9","91,543.3","93,123.3","86,105.4","114.40K","-5.39%"
"11/19/2025","91,544.1","92,962.3","92,962.3","88,610.4","95.86K","-1.53%"
"11/18/2025","92,962.3","92,196.6","93,781.8","89,391.9","115.10K","0.83%"
"11/17/2025","92,195.0","94,259.8","96,002.7","91,327.8","109.89K","-2.19%"
"11/16/2025","94,259.8","95,587.6","96,575.1","93,043.5","68.24K","-1.39%"
"11/15/2025","95,587.6","94,557.5","96,799.5","94,557.5","48.15K","1.09%"
"11/14/2025","94,554.3","99,707.0","99,843.9","94,126.2","131.30K","-5.19%"
"11/13/2025","99,728.7","101,652.8","104,008.7","98,027.4","100.44K","-1.90%"
"11/12/2025","101,658.3","103,046.7","105,309.1","100,858.0","63.52K","-1.35%"
"11/11/2025","103,046.7","106,003.2","107,461.3","102,484.3","73.04K","-2.79%"
"11/10/2025","106,006.9","104,720.8","106,629.5","104,285.0","70.75K","1.23%"
"11/09/2025","104,722.4","102,311.3","105,409.1","101,469.1","51.64K","2.36%"
"11/08/2025","102,311.1","103,326.4","103,397.6","101,474.0","41.41K","-0.98%"
